GC,GL1,GL2,GLinf,GMaxE,GMinE,LMaxL1,LMaxL2,LMaxLm,LMinL1,LMinL2,LMinLm,H12T,H1T,H12S,H1S
0.0054206826594582515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.989260633202663e-15,0.005671717466971018,0.00540698100732445,0.003714536262321856,0.0,0.0,8.91940409282034e-08,9.466491370119917e-06,0.0002517623318612164,-0.004090730661139525,0.0038138138913728727,-0.0016064663841702065,183.12278640001983,183.12278647984456,0.0707666667485775,0.07076848566536206
4.2473402708921724e-14,0.0057592598854888,0.005529428902623957,0.004227453051390039,0.0,0.0,9.841692759081407e-08,1.0009612018221331e-05,0.00023861389928526812,-0.004133269372673882,0.003935920609367962,-0.0015715170702874579,286.91143553047715,286.9114355837593,0.08863456043440722,0.08863985650811212
8.752746786091717e-14,0.005911819195859792,0.005732802564961917,0.005034733185518016,0.0,0.0,1.0657332078447969e-07,1.082570068376638e-05,0.0002571556873765641,-0.004215804219130897,0.004116163810929259,-0.0015487380746920518,413.2785866030053,413.2785866427667,0.10585876374328945,0.10587058629075592
1.325815330129126e-13,0.006112972053360319,0.005992699255593597,0.005759864994913846,0.0,0.0,3.026206398079653e-07,1.6150608139958292e-05,0.00024140891970215743,-0.004334068787516983,0.004328997653304646,-0.0018924551397601068,531.8119288512576,531.8119288850218,0.12091358119764434,0.1209335994995644
1.7787753526894623e-13,0.006364637497865161,0.0063007446274679964,0.006428524324828814,0.0,0.0,1.6462774615329537e-06,4.369738473606179e-05,0.0005026941409419476,-0.004485379887578339,0.00456338161477161,-0.002205611994697644,645.0857983457042,645.085798376475,0.13540288322510924,0.13543218481646296
2.2298536422183904e-13,0.006660017896078431,0.006649224485069967,0.007065116666647508,0.0,0.0,5.618992427144999e-06,9.833838775942505e-05,0.0008076585842810018,-0.004660894506207902,0.004811013641756881,-0.0025164463056294548,754.9958009705658,754.9958009998456,0.14981828841648237,0.14985757381381945
2.6833513027877e-13,0.0069908887386940285,0.007031250270285769,0.007683318971833999,0.0,0.0,1.336170049362699e-05,0.00017258231874606376,0.0010991978839914262,-0.004851382608512944,0.005066962777233093,-0.00285298813760458,862.6134601768623,862.6134602055185,0.16431317264615297,0.16436288651868705
3.1363113253480364e-13,0.007351272748205472,0.007440887730263535,0.00829117446698317,0.0,0.0,2.5615032227406177e-05,0.0002639957017699024,0.0013814803120422853,-0.005051391558103615,0.005328125675152303,-0.003185193135981576,968.5651099722294,968.5651100008113,0.17892972888293174,0.17899014709059066
3.590077804921833e-13,0.007734200670218472,0.007873144041058242,0.008916691185366504,0.0,0.0,4.18449756921057e-05,0.0003682854745992479,0.0016571044748718545,-0.005257392970621675,0.005592664710131368,-0.0035132933589284367,1073.2358084620898,1073.2358084909679,0.1936700811305305,0.19374136779706563
4.043037827482169e-13,0.00813675769267133,0.008323879322298246,0.00956547135650344,0.0,0.0,6.233613844200514e-05,0.0004824750947840987,0.00198893706266562,-0.005467755993910275,0.005859325460502972,-0.0038375477549718877,1176.8729319239872,1176.8729319534239,0.20852171902892394,0.20860396396721184
