GC,GL1,GL2,GLinf,GMaxE,GMinE,LMaxL1,LMaxL2,LMaxLm,LMinL1,LMinL2,LMinLm,H12T,H1T,H12S,H1S
1.4135798584282297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4135798584282297e-16,5.737403666324403e-13,7.328889927987015e-13,4.11446051128282e-12,4.996481415068996e-14,0.0,2.2380454891953472e-13,4.650751004269919e-13,6.171986942654228e-12,-4.869457546912177e-13,5.471590926923866e-13,-3.0590679881459088e-12,2.0662787188803352e-07,2.0662787188933327e-07,1.25189140042447e-08,1.251924413235761e-08
-1.1308638867425838e-15,4.2694103764600936e-11,5.968604494315112e-11,2.5560476199817423e-10,0.0,-2.4160763464866967e-13,1.4929872305371008e-11,3.581060487923534e-11,3.4727833112888416e-10,-5.493291138305618e-11,6.158372455323436e-11,-3.089975111850322e-10,1.8759285057065918e-05,1.875928505716087e-05,1.4200423693434556e-08,1.4200879782665928e-08
-1.5549378442710527e-15,7.547063237696954e-11,1.0496417353836332e-10,4.3309569142088843e-10,0.0,-6.736367276716354e-13,2.618279055674335e-11,6.285921006698187e-11,6.087546406739562e-10,-1.1034228948890087e-10,1.237331485876531e-10,-5.427100390003709e-10,3.3658227970494094e-05,3.3658227970657754e-05,1.591538318630061e-08,1.5916059120933882e-08
-2.1203697876423446e-15,1.0456428215212007e-10,1.450421948885815e-10,5.791458272879582e-10,0.0,-9.96187361244423e-13,3.604840746124955e-11,8.664889015612052e-11,8.687604302221133e-10,-1.6294578036833738e-10,1.8290818321440029e-10,-7.231732878485939e-10,4.608740763959845e-05,4.608740763982668e-05,1.745855216135271e-08,1.7459487725277368e-08
-1.8376538159566985e-15,1.3180276182978224e-10,1.825796326507058e-10,7.340229528075101e-10,0.0,-1.3019720238466454e-12,4.519120738957179e-11,1.088398138838539e-10,1.1010872671916728e-09,-2.1311476110778086e-10,2.394201885350819e-10,-8.768727174476193e-10,5.7123755825822457e-05,5.7123755826114236e-05,1.890875052913354e-08,1.8909970253089192e-08
-1.1308638867425838e-15,1.5783586422683263e-10,2.1847125422679448e-10,8.75784610917142e-10,0.0,-1.5856611353022296e-12,5.387028513551011e-11,1.29999434112857e-10,1.3137399589412565e-09,-2.6112074837642375e-10,2.935438507245024e-10,-1.0525415647957828e-09,6.723039609634339e-05,6.723039609669836e-05,2.0292911036483e-08,2.0294431565168564e-08
-1.4135798584282297e-16,1.8300221281435817e-10,2.5316026031709064e-10,1.0076951608639547e-09,0.0,-1.827268769950899e-12,6.221363705840131e-11,1.5040653270740177e-10,1.511615279323473e-09,-3.072423465479009e-10,3.455631638626452e-10,-1.269977665786313e-09,7.66566428358281e-05,7.665664283624615e-05,2.1623919544730326e-08,2.16257529415933e-08
2.8271597168564594e-16,2.074825036715996e-10,2.86910656012404e-10,1.1318321509529597e-09,0.0,-2.016246800360842e-12,7.02955529550064e-11,1.7022232545421426e-10,1.697829700346281e-09,-3.517323776435699e-10,3.957585766408244e-10,-1.4962590933424e-09,8.55551889472999e-05,8.555518894778097e-05,2.2909802764927964e-08,2.2911958220615525e-08
1.6962958301138756e-15,2.3142668544415648e-10,3.198969892593379e-10,1.260334301856407e-09,0.0,-2.1515959302490445e-12,7.816607877565289e-11,1.8955429382762103e-10,1.8905921768129177e-09,-3.9482363841686313e-10,4.4437805318184516e-10,-1.7204716444938874e-09,9.402778042870736e-05,9.402778042925155e-05,2.415632096150937e-08,2.4158805758484952e-08
