GC,GL1,GL2,GLinf,GMaxE,GMinE,LMaxL1,LMaxL2,LMaxLm,LMinL1,LMinL2,LMinLm,H12T,H1T,H12S,H1S
-1.4135798584282297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.2650126153074227e-12,7.348640999533664e-09,9.194295545727429e-09,2.6159466367930723e-08,7.770299631744271e-10,-4.839673902629396e-10,3.6797442459978306e-09,6.498248867757612e-09,3.9247169597184e-08,-3.6842451675328054e-09,6.508204341496433e-09,0.0,6.093972033037523e-07,6.094665589390585e-07,0.00010968575880632447,0.00010969163570603246
-3.5815872872996057e-12,2.0807382144876335e-07,4.1770556647568725e-06,0.00015089298840451483,0.0,0.0,5.982887222385199e-08,6.560597104526258e-07,4.930974793233455e-05,-5.111939153720685e-08,7.76222482838208e-07,0.0,0.00021103742215539863,0.00021107875625941706,0.0002994234370885223,0.00029946132211403634
-3.576215683837578e-12,4.265575128807358e-07,7.306974466282092e-06,0.00024069199951940403,0.0,0.0,1.301204560189881e-07,1.673161500075768e-06,0.00011628385666598033,-1.1493615541373024e-07,1.9508023352088043e-06,0.0,0.0003356243251915199,0.00033570385689788253,0.0004260428475065865,0.00042611571137003826
-3.5759329678658925e-12,6.565535248138782e-07,1.0142222015184454e-05,0.00031180905599251533,0.0,0.0,2.0827893781116128e-07,2.7070005970489712e-06,0.0001777935216662895,-1.8393774369914662e-07,3.157758129311597e-06,0.0,0.00043443386857277866,0.00043455224177366234,0.0005250153670785524,0.0005251245806363779
-3.5887965445775894e-12,8.799907406351404e-07,1.2765359743280389e-05,0.00037248768223900017,0.0,0.0,2.8450056040021916e-07,3.71468233460646e-06,0.00023439861360986951,-2.5116014079989245e-07,4.354545022028767e-06,0.0,0.000517887201222082,0.0005180445034927178,0.000608002549620412,0.0006081485899693006
-3.578901485568592e-12,1.1073132546330152e-06,1.522546138821489e-05,0.0004257657559286622,0.0,0.0,3.6361512043405415e-07,4.697734600490776e-06,0.00028641929952680055,-3.2274293889529843e-07,5.525800762853483e-06,0.0,0.0005910676428612641,0.0005912637086039147,0.0006806267818386619,0.0006808097185647727
-3.584273089030619e-12,1.3368184645335002e-06,1.7549541054629875e-05,0.00047345885134076455,0.0,0.0,4.4609668664567855e-07,5.6583550834322465e-06,0.00033498345957759404,-3.970219543829174e-07,6.667598857363909e-06,0.0,0.0006566703006151024,0.000656904764864099,0.0007457826396983924,0.000746002297849563
-3.582859509172191e-12,1.567577435115043e-06,1.9762506391324437e-05,0.0005169208296830776,0.0,0.0,5.299974152654536e-07,6.593962688225433e-06,0.0003806592005124426,-4.7399542913677086e-07,7.778742680867753e-06,0.0,0.0007164978975538862,0.0007167703913095228,0.0008052496884818072,0.0008055058459654931
-3.585262594931519e-12,1.7938770036838944e-06,2.1882721806657445e-05,0.0005570528461858411,0.0,0.0,6.125852526685299e-07,7.5066417610556454e-06,0.00042427808310815387,-5.5026101149686e-07,8.861452619800708e-06,0.0,0.0007717474960260354,0.0007720576734520052,0.0008602013140550184,0.0008604937417854446
