GC,GL1,GL2,GLinf,GMaxE,GMinE,LMaxL1,LMaxL2,LMaxLm,LMinL1,LMinL2,LMinLm,H12T,H1T,H12S,H1S
2.8271597168564584e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.1308638867425834e-15,3.647247872283868e-15,4.731646685876752e-15,1.310079609948895e-14,4.441059298201072e-16,-3.330794473650804e-16,1.1888923283449496e-15,2.6474960779282924e-15,1.7542184227894233e-14,-2.459512237695827e-15,3.922155719684505e-15,-1.9651687394539744e-14,6.211312938245835e-13,6.211493159044458e-13,2.164373590666843e-11,2.1643872577326464e-11
-1.5549378442710523e-15,9.662501578179468e-14,1.1601062172574914e-13,2.377387405172797e-13,1.110264824550268e-14,-2.886688543830697e-15,4.738594469294941e-14,8.104689771480191e-14,3.5150984345261483e-13,-4.9005537582168095e-14,8.284592803062704e-14,-3.566170616455461e-13,1.4742760145251952e-11,1.4743216581356407e-11,3.79303112399672e-11,3.7930608026273215e-11
4.240739575284688e-16,1.020916770115716e-13,1.2568991136030174e-13,2.923623988304031e-13,1.7986290157714342e-14,-6.661588947301608e-16,5.094376145270431e-14,8.878354488850166e-14,4.3855460569735587e-13,-5.0750163711758714e-14,8.858121496102058e-14,-4.379994732850807e-13,1.6390298565316138e-11,1.6390780488250768e-11,3.893428392614854e-11,3.8934605080122346e-11
9.895059008997605e-16,1.0658233879868632e-13,1.3434190662867154e-13,3.2759391828439603e-13,2.1983243526095305e-14,0.0,5.350207169354206e-14,9.518653100879006e-14,4.914032113459486e-13,-5.254465724125029e-14,9.417788824531337e-14,-4.900708935564883e-13,1.7614479557784982e-11,1.7614991848976305e-11,3.9660727111307473e-11,3.966107207128405e-11
2.8271597168564584e-16,1.1084004691420536e-13,1.4194614395655424e-13,3.8399395572965354e-13,2.6202249859386326e-14,0.0,5.512276881539454e-14,9.998120357605127e-14,5.702320138890176e-13,-5.5063483198479075e-14,9.991114908510713e-14,-5.76005390976679e-13,1.8476498974606242e-11,1.8477044218878995e-11,4.017952278696148e-11,4.0179890314906107e-11
0.0,1.1505909703289343e-13,1.4896620185087662e-13,4.4557509897696883e-13,3.39741036312382e-14,0.0,5.703284242562794e-14,1.04689144353482e-13,6.623839943266899e-13,-5.726094386218678e-14,1.0490318810778971e-13,-6.683794243792613e-13,1.90850733740222e-11,1.9085654733886e-11,4.054737146492714e-11,4.054776154406913e-11
2.8271597168564584e-16,1.193054328807639e-13,1.5569521306341064e-13,5.018271048278818e-13,3.996953368380965e-14,0.0,5.918368656088967e-14,1.0942550929060222e-13,7.478743858170606e-13,-5.925642247314142e-14,1.0946519037152422e-13,-7.527595510450817e-13,1.9529044097076783e-11,1.9529664726895348e-11,4.0814574004149975e-11,4.081498720144526e-11
-1.2722218725854063e-15,1.237324833612436e-13,1.624281844352198e-13,5.554145419805937e-13,4.374443408728056e-14,0.0,6.06284262497647e-14,1.1335635561660496e-13,8.260370294653994e-13,-6.214466930605852e-14,1.1484128059177709e-13,-8.331427243425211e-13,1.9869393162361676e-11,1.9870057059696732e-11,4.1017122486319693e-11,4.101756025927648e-11
-3.1098756885421045e-15,1.2835728749800568e-13,1.693374983241251e-13,6.058933156520708e-13,4.7297281525841415e-14,0.0,6.195326869589267e-14,1.1719282450060043e-13,8.994255343681721e-13,-6.535497648277523e-14,1.2055542895033748e-13,-9.088627853768494e-13,2.014596212656905e-11,2.0146673799749008e-11,4.117895505806937e-11,4.1179419309991015e-11
